strategy,symbol,timeframe,net_profit,max_drawdown,win_rate,total_trades,sharpe_ratio,profit_factor,prop_firm_passed,params
FVG,@ENQ,M5,380599.0546909628,0.0,27.21518987341772,158,0.0,1.041237748912938,True,"{'sweep_lookback': 12, 'tp_rr_ratio': 3.27900279376853, 'sl_atr_mult': 2.925242981493244, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@ENQ,M15,2546096.6854328155,0.0,28.044280442804425,271,0.0,1.3019241660851275,True,"{'sweep_lookback': 31, 'tp_rr_ratio': 3.3589624182694626, 'sl_atr_mult': 1.1308112307097604, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@ENQ,M30,396846.34095801075,0.0,25.555555555555554,180,0.0,1.0482102026129694,True,"{'sweep_lookback': 11, 'tp_rr_ratio': 3.0133015086877233, 'sl_atr_mult': 1.1806389552693934, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@ENQ,H1,1306686.8185510421,0.0,46.724890829694324,229,0.0,1.1310902754031218,True,"{'sweep_lookback': 39, 'tp_rr_ratio': 1.3481548894926219, 'sl_atr_mult': 2.0602328909084635, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@GCE,M5,-89478.23350079721,0.0,33.460076045627375,263,0.0,0.9220367514366128,True,"{'sweep_lookback': 33, 'tp_rr_ratio': 1.8452435601425994, 'sl_atr_mult': 2.747974717852978, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@GCE,M15,226759.96363062243,0.0,30.35019455252918,257,0.0,1.325556441626034,True,"{'sweep_lookback': 23, 'tp_rr_ratio': 2.6777455157999057, 'sl_atr_mult': 1.1182466441941767, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@GCE,M30,-79903.7654554723,0.0,30.935251798561154,139,0.0,0.8364217802397607,True,"{'sweep_lookback': 27, 'tp_rr_ratio': 1.826184415518493, 'sl_atr_mult': 1.0060112616736825, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@GCE,H1,81981.55450830067,0.0,23.25581395348837,86,0.0,1.1115258797651515,True,"{'sweep_lookback': 16, 'tp_rr_ratio': 3.105258995326136, 'sl_atr_mult': 2.7757368493056047, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@MES,M5,185164.78270627107,0.0,48.40909090909091,440,0.0,1.0639930069320547,True,"{'sweep_lookback': 12, 'tp_rr_ratio': 1.0550731188901605, 'sl_atr_mult': 2.9895089433557778, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@MES,M15,226603.89928015805,0.0,23.333333333333332,60,0.0,1.1939055618337295,True,"{'sweep_lookback': 29, 'tp_rr_ratio': 3.900837794364752, 'sl_atr_mult': 2.7223183291341484, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@MES,M30,-273270.40079321724,0.0,18.012422360248447,161,0.0,0.8305253525637294,True,"{'sweep_lookback': 30, 'tp_rr_ratio': 3.9861894462463825, 'sl_atr_mult': 1.0166393619654288, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@MES,H1,435823.83242849977,0.0,34.02061855670103,194,0.0,1.2033610762248004,True,"{'sweep_lookback': 11, 'tp_rr_ratio': 2.497115659764501, 'sl_atr_mult': 1.9152724280057647, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@RTY,M5,144388.22639721772,0.0,25.523809523809526,525,0.0,1.0801123589395818,True,"{'sweep_lookback': 20, 'tp_rr_ratio': 3.094552436001293, 'sl_atr_mult': 1.652656889276103, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@RTY,M15,-342001.3611083676,0.0,37.32394366197183,142,0.0,0.7820042193055394,True,"{'sweep_lookback': 30, 'tp_rr_ratio': 1.4718390761340092, 'sl_atr_mult': 2.855099947242973, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@RTY,M30,-39810.017279468215,0.0,30.666666666666664,75,0.0,0.9534400420832984,True,"{'sweep_lookback': 35, 'tp_rr_ratio': 2.5993861880728035, 'sl_atr_mult': 1.9396097516228332, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
FVG,@RTY,H1,-43652.41485550659,0.0,24.242424242424242,99,0.0,0.959984380851584,True,"{'sweep_lookback': 37, 'tp_rr_ratio': 3.5903769982629363, 'sl_atr_mult': 2.278800252102949, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@ENQ,M5,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 8, 'golden_zone_low_pct': 0.5116360497502239, 'golden_zone_high_pct': 0.6350609373791073, 'rsi_period': 17, 'rsi_oversold': 28.571021619922643, 'min_range_atr_mult': 2.5599728429091466, 'sl_atr_mult': 1.1157648557612763, 'tp_rr_ratio': 1.7667098885680321, 'tp_extension_factor': 1.5997737450425393, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@ENQ,M15,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 10, 'golden_zone_low_pct': 0.5171567114737853, 'golden_zone_high_pct': 0.6305445294828322, 'rsi_period': 20, 'rsi_oversold': 32.64805902756559, 'min_range_atr_mult': 1.3194103378784667, 'sl_atr_mult': 1.9471816321250435, 'tp_rr_ratio': 3.0535051502796606, 'tp_extension_factor': 1.1481416950053018, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@ENQ,M30,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 7, 'golden_zone_low_pct': 0.48594641872621047, 'golden_zone_high_pct': 0.6206526357020323, 'rsi_period': 13, 'rsi_oversold': 37.489042028577664, 'min_range_atr_mult': 3.7298154901415903, 'sl_atr_mult': 2.004758311501461, 'tp_rr_ratio': 3.0102277215012507, 'tp_extension_factor': 1.3256157556657435, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@ENQ,H1,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 6, 'golden_zone_low_pct': 0.5236284362971692, 'golden_zone_high_pct': 0.6380284453616942, 'rsi_period': 21, 'rsi_oversold': 34.95789371947458, 'min_range_atr_mult': 2.548683187035522, 'sl_atr_mult': 2.3997316401515736, 'tp_rr_ratio': 3.336714147107426, 'tp_extension_factor': 1.3021369785299834, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@GCE,M5,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 5, 'golden_zone_low_pct': 0.5394193177084302, 'golden_zone_high_pct': 0.6368506007327263, 'rsi_period': 16, 'rsi_oversold': 24.835612954256547, 'min_range_atr_mult': 3.073160357874112, 'sl_atr_mult': 1.8716602716612165, 'tp_rr_ratio': 1.524145082872229, 'tp_extension_factor': 1.2802848354056884, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@GCE,M15,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 7, 'golden_zone_low_pct': 0.4741811825453984, 'golden_zone_high_pct': 0.6468439092453468, 'rsi_period': 12, 'rsi_oversold': 36.24735662768506, 'min_range_atr_mult': 2.391241818660051, 'sl_atr_mult': 2.302419521883272, 'tp_rr_ratio': 3.966844344449295, 'tp_extension_factor': 1.1250229098045188, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@GCE,M30,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 5, 'golden_zone_low_pct': 0.46202828316712174, 'golden_zone_high_pct': 0.6113104951815069, 'rsi_period': 17, 'rsi_oversold': 28.931156670827175, 'min_range_atr_mult': 1.6552756597460714, 'sl_atr_mult': 2.284561224385501, 'tp_rr_ratio': 3.6655914738264888, 'tp_extension_factor': 1.020646976266928, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@GCE,H1,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 6, 'golden_zone_low_pct': 0.5362344907966534, 'golden_zone_high_pct': 0.6194072506809621, 'rsi_period': 8, 'rsi_oversold': 32.206616059546995, 'min_range_atr_mult': 1.3275159328350612, 'sl_atr_mult': 1.8068243399201882, 'tp_rr_ratio': 3.0931714846729514, 'tp_extension_factor': 1.1393851681445413, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@MES,M5,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 6, 'golden_zone_low_pct': 0.526283256681388, 'golden_zone_high_pct': 0.6460218401791188, 'rsi_period': 17, 'rsi_oversold': 37.00743680781913, 'min_range_atr_mult': 3.0908945039375704, 'sl_atr_mult': 2.481068213924711, 'tp_rr_ratio': 3.6511957740054584, 'tp_extension_factor': 1.0107613040645564, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@MES,M15,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 5, 'golden_zone_low_pct': 0.45967833247110745, 'golden_zone_high_pct': 0.6382039613965966, 'rsi_period': 21, 'rsi_oversold': 23.142924451910464, 'min_range_atr_mult': 2.960047084632002, 'sl_atr_mult': 2.634837278853543, 'tp_rr_ratio': 1.6092172075217177, 'tp_extension_factor': 1.6179644471134633, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@MES,M30,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 10, 'golden_zone_low_pct': 0.529027236247089, 'golden_zone_high_pct': 0.6140756934749753, 'rsi_period': 15, 'rsi_oversold': 37.38397912508072, 'min_range_atr_mult': 1.670872526070059, 'sl_atr_mult': 1.2494345771092719, 'tp_rr_ratio': 2.713574757172739, 'tp_extension_factor': 1.384095828533498, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@MES,H1,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 12, 'golden_zone_low_pct': 0.5105514917901384, 'golden_zone_high_pct': 0.622255531082822, 'rsi_period': 19, 'rsi_oversold': 34.17313642344389, 'min_range_atr_mult': 1.0362290681978363, 'sl_atr_mult': 2.8665418632370394, 'tp_rr_ratio': 2.089427476510527, 'tp_extension_factor': 1.057885474157534, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@RTY,M5,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 10, 'golden_zone_low_pct': 0.48205264782410795, 'golden_zone_high_pct': 0.6485923839436271, 'rsi_period': 16, 'rsi_oversold': 37.60414404632836, 'min_range_atr_mult': 1.547956848190014, 'sl_atr_mult': 0.7972600289968816, 'tp_rr_ratio': 3.9299517386081346, 'tp_extension_factor': 1.2131932112103954, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@RTY,M15,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 11, 'golden_zone_low_pct': 0.5013209654833735, 'golden_zone_high_pct': 0.603831999088072, 'rsi_period': 16, 'rsi_oversold': 30.04679613871815, 'min_range_atr_mult': 1.1936429514693758, 'sl_atr_mult': 2.082432279341857, 'tp_rr_ratio': 1.1226441859189085, 'tp_extension_factor': 1.4705308204782548, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@RTY,M30,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 12, 'golden_zone_low_pct': 0.4771160676159529, 'golden_zone_high_pct': 0.6349203904870084, 'rsi_period': 16, 'rsi_oversold': 26.972784278952595, 'min_range_atr_mult': 2.803820340086505, 'sl_atr_mult': 2.3951474194471114, 'tp_rr_ratio': 2.7423505839114144, 'tp_extension_factor': 1.3830327076403188, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldenZone,@RTY,H1,0.0,0.0,0.0,0,0.0,0.0,False,"{'swing_strength': 12, 'golden_zone_low_pct': 0.5318942271868593, 'golden_zone_high_pct': 0.6166981605305417, 'rsi_period': 21, 'rsi_oversold': 38.951826042629556, 'min_range_atr_mult': 3.6086581045541357, 'sl_atr_mult': 1.9917441236806344, 'tp_rr_ratio': 1.5674265365672602, 'tp_extension_factor': 1.506872092871646, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@ENQ,M5,16.721225486420735,0.0,32.94117647058823,85,0.0,1.167440499861001,True,"{'pullback_atr_mult': 0.60802273715114, 'tp_rr_ratio': 3.0672583061721723, 'sl_atr_mult': 2.9821101922153104, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@ENQ,M15,134.0873335089127,0.0,41.08527131782946,129,0.0,1.4664470016864983,True,"{'pullback_atr_mult': 0.7916920119221029, 'tp_rr_ratio': 1.9111518501643316, 'sl_atr_mult': 1.682446216341536, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@ENQ,M30,401.8757844702777,0.0,41.88034188034188,117,0.0,1.9345605934290881,True,"{'pullback_atr_mult': 0.8108621703569145, 'tp_rr_ratio': 2.40925236871751, 'sl_atr_mult': 1.3641806499872522, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@ENQ,H1,214.11583369950677,0.0,35.24590163934426,122,0.0,1.6508641811196674,True,"{'pullback_atr_mult': 1.355653577237685, 'tp_rr_ratio': 3.2723320606677517, 'sl_atr_mult': 1.4370015201388975, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@GCE,M5,-51.527987038571155,0.0,30.526315789473685,95,0.0,1.429220616705056,True,"{'pullback_atr_mult': 0.3100856157877561, 'tp_rr_ratio': 3.333987102071251, 'sl_atr_mult': 1.9912984166770824, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@GCE,M15,-66.40105572610628,0.0,37.735849056603776,106,0.0,1.1887687829429765,True,"{'pullback_atr_mult': 0.649801089872579, 'tp_rr_ratio': 2.1734874769792305, 'sl_atr_mult': 1.712986975736912, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@GCE,M30,-54.105798257747665,0.0,50.96153846153846,104,0.0,1.3760375157398699,True,"{'pullback_atr_mult': 1.1469791043254973, 'tp_rr_ratio': 1.5189093378665683, 'sl_atr_mult': 2.003256080396534, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@GCE,H1,-27.2944483851752,0.0,31.506849315068493,73,0.0,1.5735349010550996,True,"{'pullback_atr_mult': 0.7209725872254147, 'tp_rr_ratio': 3.6404127379542826, 'sl_atr_mult': 2.728653536876503, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@MES,M5,21.99805251116777,0.0,52.94117647058824,85,0.0,2.1484270095258555,True,"{'pullback_atr_mult': 0.3390290377295398, 'tp_rr_ratio': 1.9942856696738005, 'sl_atr_mult': 2.379235212785218, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
GoldSeasonality,@MES,M15,-25.128302712982986,0.0,60.0,130,0.0,1.791217643494663,True,"{'pullback_atr_mult': 0.9540616715289616, 'tp_rr_ratio': 1.2364219025024727, 'sl_atr_mult': 1.6468386401631778, 'pos_type': 'Fixed', 'pos_fixed_qty': 0.1}"
